siteId,siteName,rows,country,countrySource,siteType,prefixTopCountry,prefixShare,prefixedRows,checkPrefixConflict
HOTEL HILTON PERU,Hotel Hilton PERU,833,PERU,regla_nombre,VENUE_CLIENTE,PERU,0.95,329,False
ENJOY VINA DEL MAR,Enjoy Vina del Mar,789,CHILE,regla_nombre,VENUE_CLIENTE,CHILE,0.43,28,False
CD PTO. VARAS - ENJOY,CD Pto. Varas - Enjoy Pto. Varas,780,CHILE,regla_nombre,CENTRO_DISTRIBUCION,COLOMBIA,0.5,12,False
CC TITANIUM,CC Titanium,766,CHILE,regla_nombre,VENUE_CLIENTE,PERU,0.59,17,False
HOTEL PULLMAN SAN ISI,Hotel Pullman San Isidro,761,PERU,regla_nombre,VENUE_CLIENTE,PERU,0.95,243,False
H. ATTON VITACURA,H. Pullman (H. Atton Vitacura),757,CHILE,regla_nombre,VENUE_CLIENTE,PERU,0.64,14,True
H.C. GRAND HYATT,H.C. Grand Hyatt,744,COLOMBIA,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.97,441,False
H. DREAMS TEMUCO,H. Dreams Temuco,723,CHILE,regla_nombre,VENUE_CLIENTE,PERU,0.6,5,False
H.C. ESTELAR CARTAGEN,H.C. Estelar Cartagena,714,COLOMBIA,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.98,235,False
HOTEL LE MERIDIEN,Hotel Le Meridien,653,SIN_ASIGNAR,sin_evidencia,VENUE_CLIENTE,COLOMBIA,0.45,65,False
DIFERENCIAS INV,Diferencias Inv,642,SIN_ASIGNAR,sin_evidencia,VIRTUAL_O_BAJA,COLOMBIA,0.71,17,False
CD ANTOFAGASTA,CD Antofagasta,622,CHILE,regla_nombre,CENTRO_DISTRIBUCION,COLOMBIA,0.56,16,False
H. NOVOTEL STGO (H. A,H. Novotel Stgo (H. Atton Las Condes),620,CHILE,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.55,31,False
H. COURTYARD,H. Courtyard,620,CHILE,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.55,11,False
H. SANTA CRUZ,H. Santa Cruz,562,CHILE,regla_nombre,VENUE_CLIENTE,PERU,0.75,4,False
H. BOSQUE DE RENACA (,H. Bosque de Renaca (Conference Town),555,CHILE,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.5,6,False
H. NH,H. NH,552,CHILE,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.33,3,False
H.RITZ CARLTON,Hotel Ritz Carlton,546,CHILE,regla_nombre,VENUE_CLIENTE,CHILE,0.37,43,False
H. RENAISSANCE,H. Renaissance,541,CHILE,regla_nombre,VENUE_CLIENTE,PERU,0.67,6,False
H.C. INTERCONTINENTAL,H.C. Intercontinental Medellin,535,COLOMBIA,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.96,401,False
